ProviderName,SpecialtyName,startHour,endHour,Cost,City,status,error
SimashellToussi,pediatr infecti diseas,9,15,33,stoni brook nstonybrook,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (53, 4, 42, 103). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
KaraIskyan,primari care physician emerg medicin,10,16,61,phoenix,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (54, 4, 43, 97). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
JoslinCheverie,surgeri general,9,16,26,los angel,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (55, 4, 44, 104). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
ZahidRauf,psychiatri,8,14,32,morehead citi,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (56, 4, 45, 105). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MarkLane,physician assist,8,14,25,antioch,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (57, 4, 46, 87). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
ErnestHoward,physic medicin rehabilit,10,16,69,villa rica,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (58, 4, 47, 106). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MitchellMiller,famili medicin,9,15,63,circlevill,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (59, 4, 48, 107). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
AnitaKing,emerg medicin,8,16,63,phoenix,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (60, 4, 43, 80). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
JeanineBurrell,physic therapi,9,15,57,buford,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (61, 4, 49, 99). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
JeromeLipin,pediatr,9,14,33,bicentenni nbrigg nw hollywood nwest hollywood nlos angel,False,"[42000] [Microsoft][ODBC SQL Server Driver][SQL Server]String or binary data would be truncated in table 'PotatoDataMartv1.dbo.LocationDim', column 'City'. Truncated value: 'bicentenni nbrigg nw hollywood nwest hollywood nlo'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Russell Peyton,nurs practition,8,16,53,madisonvill,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (63, 4, 51, 108). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Steven Dreyer,chiropract,8,14,45,newport beach,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (64, 4, 52, 109). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MeghanGrzetich,and,9,16,36,joliet,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (65, 4, 53, 83). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Thomas McIntosh,radiolog hospit base,10,16,36,tuxedo natlanta,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (66, 4, 54, 110). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
DennisWilcox,radiolog,9,15,32,hamilton npinesdal,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (67, 4, 55, 96). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
PaulKendrick,chiropract,9,15,41,vancouv,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (68, 4, 56, 109). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MarcCarmody,non physician physician assist,9,14,20,belfast nswanvill nwaldo,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (69, 4, 57, 111). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
ColletteAkhimiona,nep im,8,14,30,houston,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (70, 4, 12, 112). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
KatherineAlbright,physic therapi,10,14,28,new york,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (71, 4, 92, 99). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
DonaldNelson,chiropract,9,15,21,temp,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (72, 4, 58, 109). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
KevinHalow,general surgeri,8,15,53,minden,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (73, 4, 59, 113). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Aris Musabji,diagnost radiolog,8,15,50,tinley park,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (74, 4, 60, 95). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Julie Powell,nurs practition,8,16,48,smyrna,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (75, 4, 61, 108). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
VincentSekela,anesthesiolog,10,14,22,eri nperri squar,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (76, 4, 62, 114). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
KelliDaniels,specialist obstetr gynecolog,9,16,65,philadelphia n30th st train postal str,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (77, 4, 63, 115). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
ElizabethStephens,nurs practition,9,15,38,olney,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (78, 4, 64, 108). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
WendellZee,anesthesiolog,8,14,39,raleigh nnorth hill,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (79, 4, 65, 114). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
DerekKram,specialist orthoped surgeri,8,14,45,rockvill,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (80, 4, 66, 116). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
AngelaFrazier,nurs practition,10,14,42,louisvill njeffersontown,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (81, 4, 67, 108). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
